id	filename	md5	size	state
10094f1d-eafe-4ab3-a5df-6f2ce656fedf	10094f1d-eafe-4ab3-a5df-6f2ce656fedf/cd70ac4d-6f7e-4b09-8f5a-22e40be14bf0.htseq.counts.gz	e7c5aa02faa607d0a46f6ed60fbabd46	243891	validated
1277249b-bd7b-4562-8ce2-4e1e8d586180	1277249b-bd7b-4562-8ce2-4e1e8d586180/57817aa5-3bb6-47e7-a344-2857668dc485.htseq.counts.gz	77dbe16026a3d74fa5cec3da6836b844	246854	validated
16d45a38-30c1-4575-b0fd-b8a18847758f	16d45a38-30c1-4575-b0fd-b8a18847758f/6d72b256-38ca-4ee6-8472-7871c5529a75.htseq.counts.gz	255dc729759ca764cfbdb1b65c39761b	247204	validated
1a53dd09-6afe-4672-bc3d-dc5e569ea902	1a53dd09-6afe-4672-bc3d-dc5e569ea902/f3ceee20-f960-451c-8fb4-ce0e8e852bb6.htseq.counts.gz	e85812d5156dc525ad3ebe263a9dcd83	233810	validated
1b79cf63-ae7e-4a92-985c-21d42d91d1fb	1b79cf63-ae7e-4a92-985c-21d42d91d1fb/fa42f354-dfcf-45bd-a56f-63b8322f7205.htseq.counts.gz	f3164d18ecb484cfe64d1caf9895603f	251021	validated
1c923966-fac1-4571-b310-11295d14fcdc	1c923966-fac1-4571-b310-11295d14fcdc/7f75084d-fa0a-4a63-9bb0-9a0917fc149e.htseq.counts.gz	21daa282621d83a5884873812e704446	240470	validated
1db52e00-016d-43bc-a4c7-3c4ee4b3a9d9	1db52e00-016d-43bc-a4c7-3c4ee4b3a9d9/b9e8cdd4-4072-4ec3-8023-ee310ae10af7.htseq.counts.gz	4f41ab84993d2e94ba40c33cc626cc9e	250887	validated
1f8714c8-4d1b-491c-bf6e-350d7252ad15	1f8714c8-4d1b-491c-bf6e-350d7252ad15/5b4e4b9a-25b4-4756-b804-3c30c560615e.htseq.counts.gz	5f78763b10aa0cc5aed4186a6ce93a39	236314	validated
21f6fdaf-69e3-4018-b981-6d3a2a5fb7fd	21f6fdaf-69e3-4018-b981-6d3a2a5fb7fd/5d2e0d9a-7078-49f0-9fc9-a39cf989043d.htseq.counts.gz	2af5998c845f66acfec61827ad4096d7	239752	validated
24f9d77e-e2fa-4d3c-85e0-bfde3d86f141	24f9d77e-e2fa-4d3c-85e0-bfde3d86f141/cc16a3ce-4569-47c1-8155-1f6d1e64f999.htseq.counts.gz	172f98b32f37524a60856be1c3355b31	237091	validated
26eba166-d1cf-4c55-971b-c7d5f93477f0	26eba166-d1cf-4c55-971b-c7d5f93477f0/548aaa62-0d10-469c-9088-73de98704c2f.htseq.counts.gz	1a402f8c2b6a54577c7f27d9caf10c49	241195	validated
2787c57b-2643-4bfc-b318-d0eff5a8cbe2	2787c57b-2643-4bfc-b318-d0eff5a8cbe2/0fe9da17-a335-49bb-8043-9ccb7e7fa700.htseq.counts.gz	9f0c58fe74fb38bb3b0a16d5b264fe16	250010	validated
2990d37f-cce1-4128-be13-574423fd0f04	2990d37f-cce1-4128-be13-574423fd0f04/9ee01d53-7b0c-4198-b808-3ca9dd4c7ba9.htseq.counts.gz	97263b941f2d4c58b38c61dc4315e926	240520	validated
2ab5cd24-eca9-415e-8a93-ee8e0e7f4ce9	2ab5cd24-eca9-415e-8a93-ee8e0e7f4ce9/5ae0ac27-e1cc-445f-b75e-9f2484dc94ad.htseq.counts.gz	30b0dcb63d6f51772071546e3c47023d	242877	validated
2d681a09-0676-4991-b416-6537fd4c6df2	2d681a09-0676-4991-b416-6537fd4c6df2/383a22da-013a-4308-963e-b3daf6451aac.htseq.counts.gz	df877ac25c58e7eeece14f187712638c	253187	validated
2fef61ca-d788-4096-9134-ad834396f2ad	2fef61ca-d788-4096-9134-ad834396f2ad/d76e07b3-bb59-465c-aa6a-67892b0052b5.htseq.counts.gz	e3484412286da4a339c9f09c58ba5133	243551	validated
352caa23-c5f5-4ec2-a068-46d7e464190b	352caa23-c5f5-4ec2-a068-46d7e464190b/ba151af1-bca6-4683-87b3-53999d516523.htseq.counts.gz	b3a6a20e781c151601bf5cd8c25b6a9b	236691	validated
